"paper_id","word_cited_id"
"10.1109/EMCSI39492.2022.9889639","learning"
"10.1109/EMCSI39492.2022.9889639","development"
"10.1109/EMCSI39492.2022.9889639","represents"
"10.1109/EMCSI39492.2022.9889639","direction"
"10.1109/EMCSI39492.2022.9889639","research"
"10.1109/EMCSI39492.2022.9889639","computational"
"10.1109/EMCSI39492.2022.9889639","capabilities"
"10.1109/EMCSI39492.2022.9889639","resulting"
"10.1109/EMCSI39492.2022.9889639","increasing"
"10.1109/EMCSI39492.2022.9889639","sophisticated"
"10.1145/3318265.3318288","services"
"10.1145/3318265.3318288","learning"
"10.1145/3318265.3318288","computing"
"10.1145/3318265.3318288","resources"
"10.1145/3318265.3318288","performance"
"10.1145/3318265.3318288","consumption"
"10.1145/3318265.3318288","features"
"10.1145/3318265.3318288","servers"
"10.1145/3318265.3318288","present"
"10.1145/3318265.3318288","large"
"10.1109/LCOMM.2020.2996605","important"
"10.1109/LCOMM.2020.2996605","learning"
"10.1109/LCOMM.2020.2996605","data"
"10.1109/LCOMM.2020.2996605","communication"
"10.1109/LCOMM.2020.2996605","importance"
"10.1109/LCOMM.2020.2996605","allocation"
"10.1109/LCOMM.2020.2996605","computing"
"10.1109/LCOMM.2020.2996605","integrates"
"10.1109/LCOMM.2020.2996605","networks"
"10.1109/LCOMM.2020.2996605","network"
"10.1109/iecon43393.2020.9255001","learning"
"10.1109/iecon43393.2020.9255001","computing"
"10.1109/iecon43393.2020.9255001","centralized"
"10.1109/iecon43393.2020.9255001","industrial"
"10.1109/iecon43393.2020.9255001","environment"
"10.1109/iecon43393.2020.9255001","different"
"10.1109/iecon43393.2020.9255001","federated"
"10.1109/iecon43393.2020.9255001","problem"
"10.1109/iecon43393.2020.9255001","applications"
"10.1109/iecon43393.2020.9255001","classification"
"10.1109/JSEN.2019.2936117","learning"
"10.1109/JSEN.2019.2936117","detection"
"10.1109/JSEN.2019.2936117","algorithm"
"10.1109/JSEN.2019.2936117","performance"
"10.1109/JSEN.2019.2936117","application"
"10.1109/JSEN.2019.2936117","current"
"10.1109/JSEN.2019.2936117","research"
"10.1109/JSEN.2019.2936117","classification"
"10.1109/JSEN.2019.2936117","applied"
"10.1109/JSEN.2019.2936117","combination"
"10.1109/BigMM.2019.00015","applications"
"10.1109/BigMM.2019.00015","computing"
"10.1109/BigMM.2019.00015","covering"
"10.1109/BigMM.2019.00015","monitoring"
"10.1109/BigMM.2019.00015","utilizing"
"10.1109/BigMM.2019.00015","detection"
"10.1109/BigMM.2019.00015","processing"
"10.1109/BigMM.2019.00015","support"
"10.1109/BigMM.2019.00015","distance"
"10.1109/BigMM.2019.00015","existing"
"10.1109/CANDARW.2019.00085","system"
"10.1109/CANDARW.2019.00085","learning"
"10.1109/CANDARW.2019.00085","partitioned"
"10.1109/CANDARW.2019.00085","processing"
"10.1109/CANDARW.2019.00085","machine"
"10.1109/CANDARW.2019.00085","methods"
"10.1109/CANDARW.2019.00085","vertically"
"10.1109/CANDARW.2019.00085","computing"
"10.1109/CANDARW.2019.00085","use"
"10.1109/CANDARW.2019.00085","terminals"
"10.1109/melecon48756.2020.9140602","wearable"
"10.1109/melecon48756.2020.9140602","learning"
"10.1109/melecon48756.2020.9140602","characteristics"
"10.1109/melecon48756.2020.9140602","activities"
"10.1109/melecon48756.2020.9140602","recognizable"
"10.1109/melecon48756.2020.9140602","postural"
"10.1109/melecon48756.2020.9140602","human"
"10.1109/melecon48756.2020.9140602","presence"
"10.1109/melecon48756.2020.9140602","differences"
"10.1109/melecon48756.2020.9140602","different"
"10.1109/HPCA.2019.00048","inference"
"10.1109/HPCA.2019.00048","experience"
"10.1109/HPCA.2019.00048","learning"
"10.1109/HPCA.2019.00048","understanding"
"10.1109/HPCA.2019.00048","capabilities"
"10.1109/HPCA.2019.00048","translations"
"10.1109/HPCA.2019.00048","aspects"
"10.1109/HPCA.2019.00048","infrastructure"
"10.1109/HPCA.2019.00048","working"
"10.1109/HPCA.2019.00048","currently"
"10.1145/3299874.3322802","learning"
"10.1145/3299874.3322802","applications"
"10.1145/3299874.3322802","network"
"10.1145/3299874.3322802","past"
"10.1145/3299874.3322802","years"
"10.1145/3299874.3322802","methods"
"10.1145/3299874.3322802","half"
"10.1145/3299874.3322802","spectrum"
"10.1145/3299874.3322802","applied"
"10.1145/3299874.3322802","problems"
"10.1109/ICOIN53446.2022.9687209","computing"
"10.1109/ICOIN53446.2022.9687209","learning"
"10.1109/ICOIN53446.2022.9687209","applications"
"10.1109/ICOIN53446.2022.9687209","environment"
"10.1109/ICOIN53446.2022.9687209","serverless"
"10.1109/ICOIN53446.2022.9687209","effectiveness"
"10.1109/ICOIN53446.2022.9687209","stateless"
"10.1109/ICOIN53446.2022.9687209","solution"
"10.1109/ICOIN53446.2022.9687209","complexity"
"10.1109/ICOIN53446.2022.9687209","management"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","learning"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","different"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","approach"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","generated"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","connected"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","solutions"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","decentralized"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","devices"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","complex"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","management"
"10.3390/s20092533","learning"
"10.3390/s20092533","connected"
"10.3390/s20092533","implement"
"10.3390/s20092533","network"
"10.3390/s20092533","devices"
"10.3390/s20092533","industries"
"10.3390/s20092533","cities"
"10.3390/s20092533","populated"
"10.3390/s20092533","vehicles"
"10.3390/s20092533","environment"
"10.1109/IPDPSW52791.2021.00126","learning"
"10.1109/IPDPSW52791.2021.00126","constraints"
"10.1109/IPDPSW52791.2021.00126","computing"
"10.1109/IPDPSW52791.2021.00126","limitations"
"10.1109/IPDPSW52791.2021.00126","methodology"
"10.1109/IPDPSW52791.2021.00126","design"
"10.1109/IPDPSW52791.2021.00126","particular"
"10.1109/IPDPSW52791.2021.00126","computational"
"10.1109/IPDPSW52791.2021.00126","approaches"
"10.1109/IPDPSW52791.2021.00126","considered"
"10.1016/j.neucom.2015.08.121","detection"
"10.1016/j.neucom.2015.08.121","sensing"
"10.1016/j.neucom.2015.08.121","automata"
"10.1016/j.neucom.2015.08.121","methods"
"10.1016/j.neucom.2015.08.121","spectral"
"10.1016/j.neucom.2015.08.121","traditional"
"10.1016/j.neucom.2015.08.121","computing"
"10.1016/j.neucom.2015.08.121","based"
"10.1016/j.neucom.2015.08.121","evolution"
"10.1016/j.neucom.2015.08.121","cellular"
"10.1109/CogMI50398.2020.00030","systems"
"10.1109/CogMI50398.2020.00030","intelligence"
"10.1109/CogMI50398.2020.00030","provision"
"10.1109/CogMI50398.2020.00030","vision"
"10.1109/CogMI50398.2020.00030","emerging"
"10.1109/CogMI50398.2020.00030","integrating"
"10.1109/CogMI50398.2020.00030","practical"
"10.1109/CogMI50398.2020.00030","context"
"10.1109/CogMI50398.2020.00030","challenges"
"10.1109/CogMI50398.2020.00030","environments"
"10.1109/MASSW.2019.00009","methods"
"10.1109/MASSW.2019.00009","computing"
"10.1109/MASSW.2019.00009","regulations"
"10.1109/MASSW.2019.00009","compliance"
"10.1109/MASSW.2019.00009","minimal"
"10.1109/MASSW.2019.00009","sharing"
"10.1109/MASSW.2019.00009","processing"
"10.1109/MASSW.2019.00009","environment"
"10.1109/MASSW.2019.00009","locally"
"10.1109/MASSW.2019.00009","learning"
