"paper_id","class_label"
"10.1109/EMCSI39492.2022.9889639","EdgeML"
"10.1109/EMCSI39492.2022.9889639","EdgeML"
"10.1109/EMCSI39492.2022.9889639","EdgeML"
"10.1109/iecon43393.2020.9255001","EdgeML"
"10.1109/melecon48756.2020.9140602","EdgeML"
"10.1109/ICOIN53446.2022.9687209","EdgeML"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","EdgeML"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","EdgeML"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","EdgeML"
"10.3390/s20092533","EdgeML"
"10.3390/s20092533","EdgeML"
"10.3390/s20092533","EdgeML"
"10.1109/CogMI50398.2020.00030","EdgeML"
"10.1109/CogMI50398.2020.00030","EdgeML"
"10.1109/CogMI50398.2020.00030","EdgeML"
"10.1007/s11277-022-10160-y","EdgeML"
"10.1016/j.jnca.2021.103005","EdgeML"
"10.1016/j.jnca.2021.103005","EdgeML"
"10.1145/3503823.3503843","EdgeML"
"10.1007/s42452-023-05498-2","EdgeML"
"10.1145/3469029","EdgeML"
"10.1145/3469029","EdgeML"
"10.1145/3469029","EdgeML"
"10.1145/3469029","EdgeML"
"10.1145/3469029","EdgeML"
"10.1145/3469029","EdgeML"
"10.1109/ACCESS.2022.3212077","EdgeML"
"10.1109/MIC.2022.3152478","EdgeML"
"10.1007/s11432-020-3251-9","EdgeML"
"10.1007/s11432-020-3251-9","EdgeML"
"10.3390/s21196594","EdgeML"
"10.1109/icassp40776.2020.9052927","EdgeML"
"10.3390/app12105178","EdgeML"
"10.3390/app12105178","EdgeML"
"10.1109/ACCESS.2020.2978082","EdgeML"
"10.1109/COMPSAC57700.2023.00124","EdgeML"
"10.1109/JSAC.2020.3041379","EdgeML"
"10.1109/IPDPSW50202.2020.00153","EdgeML"
"10.1109/IPDPSW50202.2020.00153","EdgeML"
"10.1109/IPDPSW50202.2020.00153","EdgeML"
"10.1109/IPDPSW50202.2020.00153","EdgeML"
"10.3390/s22072665","EdgeML"
"10.3390/s22072665","EdgeML"
"10.3390/s22072665","EdgeML"
"10.3390/s22072665","EdgeML"
"10.3390/s22072665","EdgeML"
"10.3390/s22072665","EdgeML"
"10.3390/s22072665","EdgeML"
"10.3390/app11167461","EdgeML"
"10.3390/app11167461","EdgeML"
"10.3390/app11167461","EdgeML"
"10.1109/GLOBECOM42002.2020.9322592","EdgeML"
"10.1007/s10015-021-00683-1","EdgeML"
"10.1007/s10015-021-00683-1","EdgeML"
"10.3390/ai4030039","EdgeML"
"10.3390/ai4030039","EdgeML"
"10.1109/ACCESS.2022.3207200","EdgeML"
"10.1109/ACCESS.2022.3207200","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.1186/s13677-022-00377-4","EdgeML"
"10.32604/cmes.2022.021394","EdgeML"
"10.32604/cmes.2022.021394","EdgeML"
"10.32604/cmes.2022.021394","EdgeML"
"10.1109/5GWF52925.2021.00054","EdgeML"
"10.1109/5GWF52925.2021.00054","EdgeML"
"10.1109/MDAT.2021.3069952","EdgeML"
"10.1109/MDAT.2021.3069952","EdgeML"
"10.1109/MDAT.2021.3069952","EdgeML"
"10.1109/MDAT.2021.3069952","EdgeML"
"10.1109/MDAT.2021.3069952","EdgeML"
"10.1109/TNSE.2021.3067454","EdgeML"
"10.1109/IoTaIS50849.2021.9359701","EdgeML"
"10.1109/ICUFN55119.2022.9829714","EdgeML"
"10.1016/j.comnet.2021.108019","EdgeML"
"10.1145/3581759","EdgeML"
"10.1145/3581759","EdgeML"
"10.1145/3581759","EdgeML"
"10.1145/3581759","EdgeML"
"10.1145/3581759","EdgeML"
"10.1145/3581759","EdgeML"
"10.1145/3581759","EdgeML"
"10.1145/3581759","EdgeML"
"10.1145/3581759","EdgeML"
"10.1109/ACCESS.2021.3066559","EdgeML"
"10.1109/ACCESS.2021.3066559","EdgeML"
"10.1109/ACCESS.2021.3066559","EdgeML"
"10.1109/ACCESS.2021.3066559","EdgeML"
"10.1016/j.ijleo.2016.05.108","EdgeML"
"10.1109/ICPADS56603.2022.00109","EdgeML"
"10.3390/app12189124","EdgeML"
"10.3390/app12189124","EdgeML"
"10.3390/app12189124","EdgeML"
"10.3390/app12189124","EdgeML"
"10.3390/app12189124","EdgeML"
"10.3390/app12189124","EdgeML"
"10.3390/app12189124","EdgeML"
"10.1109/ISCC55528.2022.9912968","EdgeML"
"10.1109/MNET.011.2000296","EdgeML"
"10.1016/j.future.2023.03.010","EdgeML"
"10.1016/j.future.2023.03.010","EdgeML"
"10.1109/TPDS.2022.3146253","EdgeML"
"10.1109/TPDS.2022.3146253","EdgeML"
"10.1016/j.jksuci.2021.11.019","EdgeML"
"10.1109/CLOUD55607.2022.00069","EdgeML"
"10.1109/SEC54971.2022.00015","EdgeML"
"10.1109/SEC54971.2022.00015","EdgeML"
"10.1109/SEC54971.2022.00015","EdgeML"
"10.1109/WCNC51071.2022.9771904","EdgeML"
"10.3390/electronics11142239","EdgeML"
"10.3390/electronics11142239","EdgeML"
"10.3390/electronics11142239","EdgeML"
"10.3390/electronics11142239","EdgeML"
"10.1007/s10586-023-04100-z","EdgeML"
"10.1007/s10586-023-04100-z","EdgeML"
"10.1007/s10586-023-04100-z","EdgeML"
"10.1007/s10586-023-04100-z","EdgeML"
"10.1007/s10586-023-04100-z","EdgeML"
"10.1007/s10586-023-04100-z","EdgeML"
"10.1007/s10586-023-04100-z","EdgeML"
"10.3390/app12136617","EdgeML"
"10.3390/app12136617","EdgeML"
"10.3390/app12136617","EdgeML"
"10.3390/app12136617","EdgeML"
"10.3390/app12136617","EdgeML"
"10.3390/app12136617","EdgeML"
"10.1109/globecom38437.2019.9013295","EdgeML"
"10.1109/ACCESS.2021.3122100","EdgeML"
"10.1109/ACCESS.2021.3122100","EdgeML"
"10.1109/ACCESS.2021.3122100","EdgeML"
"10.1109/TWC.2022.3197809","EdgeML"
"10.1109/TWC.2022.3197809","EdgeML"
"10.1109/TWC.2022.3197809","EdgeML"
"10.1007/s10586-023-04030-w","EdgeML"
"10.1007/s10586-023-04030-w","EdgeML"
"10.1145/3240765.3270589","EdgeML"
"10.1109/ICASSP39728.2021.9414832","EdgeML"
"10.1109/ICASSP39728.2021.9414832","EdgeML"
"10.1109/ICASSP39728.2021.9414832","EdgeML"
"10.1109/ICASSP39728.2021.9414832","EdgeML"
"10.1016/j.jpdc.2023.05.001","EdgeML"
"10.1016/j.jpdc.2023.05.001","EdgeML"
"10.1016/j.jpdc.2023.05.001","EdgeML"
"10.1016/j.jpdc.2023.05.001","EdgeML"
"10.1109/TMC.2022.3154644","EdgeML"
"10.1109/TMC.2022.3154644","EdgeML"
"10.1109/TMC.2022.3154644","EdgeML"
"10.1016/j.pmcj.2023.101804","EdgeML"
"10.1109/ACCESS.2022.3140719","EdgeML"
"10.1109/ACCESS.2022.3140719","EdgeML"
"10.1109/ACCESS.2022.3140719","EdgeML"
"10.1109/ACCESS.2022.3140719","EdgeML"
"10.1109/ACCESS.2022.3140719","EdgeML"
"10.1504/IJWGS.2021.118395","EdgeML"
"10.1504/IJWGS.2021.118395","EdgeML"
"10.1109/CSE57773.2022.00011","EdgeML"
"10.1109/CSE57773.2022.00011","EdgeML"
"10.1109/CSE57773.2022.00011","EdgeML"
"10.1109/ACCESS.2023.3262945","EdgeML"
"10.1016/j.iot.2023.100729","EdgeML"
"10.1016/j.iot.2023.100729","EdgeML"
"10.1016/j.iot.2023.100729","EdgeML"
"10.3390/computers12020023","EdgeML"
"10.3390/computers12020023","EdgeML"
"10.1109/ACCESS.2023.3263483","EdgeML"
"10.1109/IC2E52221.2021.00034","EdgeML"
"10.1109/IC2E52221.2021.00034","EdgeML"
"10.1109/ACCESS.2021.3093382","EdgeML"
"10.1587/transinf.2022PAP0001","EdgeML"
"10.1109/icc40277.2020.9148872","EdgeML"
"10.1109/ISVLSI59464.2023.10238535","EdgeML"
"10.3390/s23031119","EdgeML"
"10.3390/s23031119","EdgeML"
"10.1109/TWC.2020.3010522","EdgeML"
"10.1109/TWC.2020.3010522","EdgeML"
"10.1109/TWC.2020.3010522","EdgeML"
"10.1109/TMC.2021.3096846","EdgeML"
"10.1145/3477314.3507322","EdgeML"
"10.1145/3477314.3507322","EdgeML"
"10.14778/3570690.3570692","EdgeML"
"10.1016/j.iot.2022.100674","EdgeML"
"10.1016/j.iot.2022.100674","EdgeML"
"10.1016/j.iot.2022.100674","EdgeML"
"10.1016/j.iot.2022.100674","EdgeML"
"10.1016/j.iot.2022.100674","EdgeML"
"10.1016/j.iot.2022.100674","EdgeML"
"10.1016/j.iot.2022.100674","EdgeML"
"10.1016/j.iot.2022.100674","EdgeML"
"10.1016/j.compeleceng.2022.107818","EdgeML"
"10.1016/j.compeleceng.2022.107818","EdgeML"
"10.1109/CIC56439.2022.00012","EdgeML"
"10.1145/3464419","EdgeML"
"10.1145/3464419","EdgeML"
"10.1145/3464419","EdgeML"
"10.1016/j.procs.2021.02.026","EdgeML"
